condition,ct,ct_housekeeping,diff,exposure,genotype,cell_label,ddct,logfc,nontransfected,group
WTA.Hyp.0,31.8920822143555,19.8261947631836,12.0658874511719,0,wt,wta,0,1,FALSE,wt_transfected
WTB.Hyp.0,31.6046943664551,19.9272470474243,11.6774473190308,0,wt,wtb,0,1,FALSE,wt_transfected
WTC.Hyp.0,31.4979104995728,19.1938486099243,12.3040618896484,0,wt,wtc,0,1,TRUE,wt_non-transfected
WTD.Hyp.0,31.9725093841553,19.9918098449707,11.9806995391846,0,wt,wtd,0,1,FALSE,wt_transfected
WTE.Hyp.0,32.176812171936,19.325779914856,12.8510322570801,0,wt,wte,0,1,TRUE,wt_non-transfected
WTF.Hyp.0,32.5344619750977,19.5126695632935,13.0217924118042,0,wt,wtf,0,1,TRUE,wt_non-transfected
HET10.Hyp.0,32.7239208221436,20.2410097122192,12.4829111099243,0,het,het10,0,1,FALSE,het_transfected
HET14.Hyp.0,32.3430519104004,20.390100479126,11.9529514312744,0,het,het14,0,1,FALSE,het_transfected
HET18.Hyp.0,32.2486305236816,20.170337677002,12.0782928466797,0,het,het18,0,1,FALSE,het_transfected
HOM25.Hyp.0,32.0089063644409,20.1282873153687,11.8806190490723,0,hom,hom25,0,1,FALSE,hom_transfected
WTB.Hyp.12,30.5075445175171,19.9105367660522,10.5970077514648,12,wt,wtb,-1.55939517702375,2.94730257393495,FALSE,wt_transfected
WTD.Hyp.12,30.746431350708,19.7725849151611,10.9738464355469,12,wt,wtd,-1.18255649294172,2.26978632915041,FALSE,wt_transfected
WTF.Hyp.12,30.4912919998169,19.3402671813965,11.1510248184204,12,wt,wtf,-1.00537811006818,2.0074695576008,TRUE,wt_non-transfected
WTNT.Hyp.12,27.6097869873047,16.8844881057739,10.7252988815308,12,wt,wtnt,-1.43110404695783,2.69652992981039,TRUE,wt_non-transfected
WTA.Hyp.12,27.4181957244873,17.9716463088989,9.44654941558838,12,wt,wta,-2.70985351290022,6.54255212283361,FALSE,wt_transfected
WTC.Hyp.12,27.3472776412964,17.92298412323,9.42429351806641,12,wt,wtc,-2.73210941042219,6.64426405816698,TRUE,wt_non-transfected
HET10.Hyp.12,28.6914939880371,17.9187078475952,10.7727861404419,12,het,het10,-1.35737546284994,2.5621864475236,FALSE,het_transfected
HET14.Hyp.12,29.7850875854492,18.8470973968506,10.9379901885986,12,het,het14,-1.1921714146932,2.28496396695966,FALSE,het_transfected
HET18.Hyp.12,28.525,17.61,10.915,12,het,het18,-1.21516160329183,2.32166787551883,FALSE,het_transfected
HOM25.Hyp.12,28.656231880188,18.0142307281494,10.6420011520386,12,hom,hom25,-0.981560707092285,1.97460037611045,FALSE,hom_transfected
WTA.Hyp.24,29.6520147323608,20.5988025665283,9.05321216583252,24,wt,wta,-3.04767867497035,8.26880401104978,FALSE,wt_transfected
WTB.Hyp.24,31.242036819458,21.6597242355347,9.58231258392334,24,wt,wtb,-2.51857825687953,5.73017125534982,FALSE,wt_transfected
WTC.Hyp.24,30.3717432022095,20.56041431427,9.81132888793945,24,wt,wtc,-2.28956195286342,4.88907640954652,TRUE,wt_non-transfected
WTD.Hyp.24,31.0529613494873,21.8297214508057,9.22323989868164,24,wt,wtd,-2.87765094212123,7.34952464634776,FALSE,wt_transfected
WTE.Hyp.24,30.8262033462524,21.5519456863403,9.27425765991211,24,wt,wte,-2.82663318089076,7.09416645173937,TRUE,wt_non-transfected
WTF.Hyp.24,31.0018501281738,21.1869163513184,9.81493377685547,24,wt,wtf,-2.28595706394741,4.87687523344307,TRUE,wt_non-transfected
HET10.Hyp.24,31.1003494262695,20.9805784225464,10.1197710037231,24,het,het10,-2.08086204528809,4.23059929287526,FALSE,het_transfected
HET14.Hyp.24,31.624415397644,20.9616327285767,10.6627826690674,24,het,het14,-1.53785037994385,2.90361541395416,FALSE,het_transfected
HET18.Hyp.24,31.3397016525269,20.7786703109741,10.5610313415527,24,het,het18,-1.6396017074585,3.11579800486023,FALSE,het_transfected
HOM25.Hyp.24,31.4253978729248,20.9977121353149,10.4276857376099,24,hom,hom25,-1.71513843536377,3.2832814709533,FALSE,hom_transfected
