condition,ct,ct_housekeeping,diff,exposure,genotype,cell_label,ddct,logfc,nontransfected,group
WTA.Hyp.0,27.2099666595459,17.932089805603,9.27787685394287,0,wt,wta,0,1,FALSE,wt_transfected
WTB.Hyp.0,28.0307168960571,18.3037633895874,9.72695350646973,0,wt,wtb,0,1,FALSE,wt_transfected
WTC.Hyp.0,27.5730819702148,17.4857444763184,10.0873374938965,0,wt,wtc,0,1,TRUE,wt_non-transfected
WTD.Hyp.0,27.8246288299561,18.1736927032471,9.65093612670898,0,wt,wtd,0,1,FALSE,wt_transfected
WTE.Hyp.0,27.8845262527466,17.4888868331909,10.3956394195557,0,wt,wte,0,1,TRUE,wt_non-transfected
WTF.Hyp.0,28.2436513900757,17.675763130188,10.5678882598877,0,wt,wtf,0,1,TRUE,wt_non-transfected
HET10.Hyp.0,27.6803350448608,18.3332891464233,9.3470458984375,0,het,het10,0,1,FALSE,het_transfected
HET14.Hyp.0,27.4520864486694,18.0586214065552,9.39346504211426,0,het,het14,0,1,FALSE,het_transfected
HET18.Hyp.0,27.8038415908813,18.2920484542847,9.51179313659668,0,het,het18,0,1,FALSE,het_transfected
HOM25.Hyp.0,27.8243293762207,18.1046009063721,9.71972846984863,0,hom,hom25,0,1,FALSE,hom_transfected
WTB.Hyp.12,25.75412940979,19.2440338134766,6.51009559631348,12,wt,wtb,-4.06752511433193,16.7666796846196,FALSE,wt_transfected
WTD.Hyp.12,26.5673217773438,18.9332885742188,7.634033203125,12,wt,wtd,-2.9435875075204,7.69321969284907,FALSE,wt_transfected
WTF.Hyp.12,26.5857381820679,18.7028217315674,7.88291645050049,12,wt,wtf,-2.69470426014492,6.47421043987257,TRUE,wt_non-transfected
WTNT.Hyp.12,24.3687858581543,16.364857673645,8.00392818450928,12,wt,wtnt,-2.57369252613613,5.95331208794404,TRUE,wt_non-transfected
WTA.Hyp.12,25.0437040328979,17.5278987884521,7.5158052444458,12,wt,wta,-3.0618154661996,8.35022728114467,FALSE,wt_transfected
WTC.Hyp.12,25.4159860610962,17.7080316543579,7.70795440673828,12,wt,wtc,-2.86966630390712,7.30896083996551,TRUE,wt_non-transfected
HET10.Hyp.12,25.0188140869141,17.4930486679077,7.52576541900635,12,het,het10,-2.65045801798503,6.27866577914971,FALSE,het_transfected
HET14.Hyp.12,26.1477165222168,18.3074903488159,7.84022617340088,12,het,het14,-2.33599726359049,5.04899855182947,FALSE,het_transfected
HET18.Hyp.12,25.6527624130249,17.3049907684326,8.34777164459229,12,het,het18,-1.82845179239909,3.55155737578226,FALSE,het_transfected
HOM25.Hyp.12,25.8043718338013,17.7487840652466,8.05558776855469,12,hom,hom25,-2.21317577362061,4.63694872507652,FALSE,hom_transfected
WTA.Hyp.24,25.06041431427,19.3405780792236,5.71983623504639,24,wt,wta,-4.33113670349121,20.1280667068507,FALSE,wt_transfected
WTB.Hyp.24,26.0014600753784,20.4489059448242,5.5525541305542,24,wt,wtb,-4.4984188079834,22.602630961573,FALSE,wt_transfected
WTC.Hyp.24,26.1111288070679,19.5599794387817,6.55114936828613,24,wt,wtc,-3.49982357025146,11.3123250099991,TRUE,wt_non-transfected
WTD.Hyp.24,25.7396965026855,20.5152864456177,5.22441005706787,24,wt,wtd,-4.82656288146973,28.3752831068589,FALSE,wt_transfected
WTE.Hyp.24,26.261890411377,20.0820369720459,6.17985343933105,24,wt,wte,-3.87111949920654,14.6326534123591,TRUE,wt_non-transfected
WTF.Hyp.24,26.6145219802856,19.7295513153076,6.88497066497803,24,wt,wtf,-3.16600227355957,8.97556198892324,TRUE,wt_non-transfected
HET10.Hyp.24,25.3988409042358,19.3964433670044,6.00239753723145,24,het,het10,-3.17199969291687,9.01295190953692,FALSE,het_transfected
HET14.Hyp.24,26.4411668777466,19.3596811294556,7.08148574829102,24,het,het14,-2.0929114818573,4.26608136517762,FALSE,het_transfected
HET18.Hyp.24,26.1776943206787,19.0361175537109,7.14157676696777,24,het,het18,-2.03282046318054,4.09204061145511,FALSE,het_transfected
HOM25.Hyp.24,26.1382551193237,19.5152912139893,6.62296390533447,24,hom,hom25,-2.70016288757324,6.49875287152664,FALSE,hom_transfected
