condition,ct,ct_housekeeping,diff,exposure,genotype,cell_label,ddct,logfc,nontransfected,group
WTA.Hyp.0,30.0354957580566,17.932089805603,12.1034059524536,0,wt,wta,0,1,FALSE,wt_transfected
WTB.Hyp.0,31.0395927429199,18.3037633895874,12.7358293533325,0,wt,wtb,0,1,FALSE,wt_transfected
WTC.Hyp.0,29.7728681564331,17.4857444763184,12.2871236801147,0,wt,wtc,0,1,TRUE,wt_non-transfected
WTD.Hyp.0,31.0546941757202,18.1736927032471,12.8810014724731,0,wt,wtd,0,1,FALSE,wt_transfected
WTE.Hyp.0,30.1060152053833,17.4888868331909,12.6171283721924,0,wt,wte,0,1,TRUE,wt_non-transfected
WTF.Hyp.0,30.2484788894653,17.675763130188,12.5727157592773,0,wt,wtf,0,1,TRUE,wt_non-transfected
HET10.Hyp.0,30.2231864929199,18.3332891464233,11.8898973464966,0,het,het10,0,1,FALSE,het_transfected
HET14.Hyp.0,30.3617467880249,18.0586214065552,12.3031253814697,0,het,het14,0,1,FALSE,het_transfected
HET18.Hyp.0,30.8927888870239,18.2920484542847,12.6007404327393,0,het,het18,0,1,FALSE,het_transfected
HOM25.Hyp.0,30.9697370529175,18.1046009063721,12.8651361465454,0,hom,hom25,0,1,FALSE,hom_transfected
WTB.Hyp.12,30.2366924285889,19.2440338134766,10.9926586151123,12,wt,wtb,-1.25624579783848,2.38873331772022,FALSE,wt_transfected
WTD.Hyp.12,30.5152111053467,18.9332885742188,11.5819225311279,12,wt,wtd,-0.666981881822858,1.58774792190515,FALSE,wt_transfected
WTF.Hyp.12,29.1817560195923,18.7028217315674,10.4789342880249,12,wt,wtf,-1.76997012492589,3.41046894295204,TRUE,wt_non-transfected
WTNT.Hyp.12,26.8026313781738,16.365,10.4376313781738,12,wt,wtnt,-1.81127303477696,3.50951831995917,TRUE,wt_non-transfected
WTA.Hyp.12,27.9088201522827,17.528,10.3808201522827,12,wt,wta,-1.86808426066807,3.65047515411161,FALSE,wt_transfected
WTC.Hyp.12,27.9227247238159,17.708,10.2147247238159,12,wt,wtc,-2.03417968913487,4.09589771817254,TRUE,wt_non-transfected
HET10.Hyp.12,27.486722946167,17.493,9.99372294616699,12,het,het10,-2.52290045420329,5.74736412501159,FALSE,het_transfected
HET14.Hyp.12,28.8632164001465,18.3075,10.5557164001465,12,het,het14,-1.96090700022379,3.89306653161564,FALSE,het_transfected
HET18.Hyp.12,27.876805305481,17.305,10.571805305481,12,het,het18,-1.94481809488932,3.84989232037386,FALSE,het_transfected
HOM25.Hyp.12,28.9162740707397,17.7485,11.1677740707397,12,hom,hom25,-2.63013214874267,6.19082701884344,FALSE,hom_transfected
WTA.Hyp.24,27.7115478515625,19.3405780792236,8.37096977233887,24,wt,wta,-4.09707968575614,17.1136986373573,FALSE,wt_transfected
WTB.Hyp.24,29.6605234146118,20.4489059448242,9.2116174697876,24,wt,wtb,-3.25643198830741,9.55616648528846,FALSE,wt_transfected
WTC.Hyp.24,29.6352386474609,19.5599794387817,10.0752592086792,24,wt,wtc,-2.39279024941581,5.251720908853,TRUE,wt_non-transfected
WTD.Hyp.24,29.01833152771,20.5152864456177,8.50304508209229,24,wt,wtd,-3.96500437600272,15.6165555407018,FALSE,wt_transfected
WTE.Hyp.24,28.1691579818726,20.0820369720459,8.08712100982666,24,wt,wte,-4.38092844826835,20.8348736835626,TRUE,wt_non-transfected
WTF.Hyp.24,29.0587520599365,19.7295513153076,9.32920074462891,24,wt,wtf,-3.1388487134661,8.80820907377468,TRUE,wt_non-transfected
HET10.Hyp.24,28.5864286422729,19.3964433670044,9.18998527526855,24,het,het10,-2.61193919181824,6.11324841020244,FALSE,het_transfected
HET14.Hyp.24,29.7486028671265,19.3596811294556,10.3889217376709,24,het,het14,-1.41300272941589,2.66290826438932,FALSE,het_transfected
HET18.Hyp.24,29.6413841247559,19.0361175537109,10.6052665710449,24,het,het18,-1.19665789604187,2.29208078957332,FALSE,het_transfected
HOM25.Hyp.24,29.5073938369751,19.5152912139893,9.99210262298584,24,hom,hom25,-2.28982067108154,4.88995324527714,FALSE,hom_transfected
