condition,ct,ct_housekeeping,diff,exposure,genotype,cell_label,ddct,logfc,nontransfected,group
WTA.Hyp.0,31.4645471572876,19.4927415847778,11.9718055725098,0,wt,wta,0,1,FALSE,wt_transfected
WTB.Hyp.0,31.8008918762207,19.9773683547974,11.8235235214233,0,wt,wtb,0,1,FALSE,wt_transfected
WTC.Hyp.0,31.4841365814209,19.1750459671021,12.3090906143188,0,wt,wtc,0,1,TRUE,wt_non-transfected
WTD.Hyp.0,31.8285427093506,19.9032974243164,11.9252452850342,0,wt,wtd,0,1,FALSE,wt_transfected
WTE.Hyp.0,32.060510635376,19.080436706543,12.980073928833,0,wt,wte,0,1,TRUE,wt_non-transfected
WTF.Hyp.0,32.0206489562988,19.3978605270386,12.6227884292603,0,wt,wtf,0,1,TRUE,wt_non-transfected
HET10.Hyp.0,31.6245899200439,20.1795463562012,11.4450435638428,0,het,het10,0,1,FALSE,het_transfected
HET14.Hyp.0,31.2808218002319,19.824761390686,11.4560604095459,0,het,het14,0,1,FALSE,het_transfected
HET18.Hyp.0,31.7840700149536,19.9171724319458,11.8668975830078,0,het,het18,0,1,FALSE,het_transfected
HOM25.Hyp.0,31.9511871337891,19.6855545043945,12.2656326293945,0,hom,hom25,0,1,FALSE,hom_transfected
WTB.Hyp.12,31.9244031906128,20.740761756897,11.1836414337158,12,wt,wtb,-0.937815121241979,1.91562493684744,FALSE,wt_transfected
WTD.Hyp.12,31.8906478881836,20.6384248733521,11.2522230148315,12,wt,wtd,-0.869233540126256,1.82669217678337,FALSE,wt_transfected
WTF.Hyp.12,31.8987951278687,20.7258586883545,11.1729364395142,12,wt,wtf,-0.948520115443639,1.92989200177998,TRUE,wt_non-transfected
WTE.Hyp.12,31.008449214468,18.9571936547106,12.0512555597575,12,wt,wte,-0.0702009952003486,1.04986293955879,TRUE,wt_non-transfected
WTA.Hyp.12,30.9400744777918,19.7772823919583,11.1627920858334,12,wt,wta,-0.958664469124351,1.9435099168631,FALSE,wt_transfected
WTC.Hyp.12,30.847497626429,19.4634119902349,11.3840856361941,12,wt,wtc,-0.737370918763652,1.66713498178661,TRUE,wt_non-transfected
HET10.Hyp.12,30.7014034670695,19.5718274945854,11.129575972484,12,het,het10,-0.232839174941718,1.17514532128115,FALSE,het_transfected
HET14.Hyp.12,31.7648096078383,20.4887282135474,11.276081394291,12,het,het14,-0.0863337531348147,1.06166878704701,FALSE,het_transfected
HET18.Hyp.12,31.1042194546562,19.6088099497305,11.4954095049257,12,het,het18,0.132994357499888,0.911936732173085,FALSE,het_transfected
HOM25.Hyp.12,31.1763329524129,19.9778469882137,11.1984859641993,12,hom,hom25,-0.45130714789245,1.36727851276946,FALSE,hom_transfected
WTA.Hyp.24,30.4273242950439,20.2720823287964,10.1552419662476,24,wt,wta,-1.19868401118687,2.29530204009267,FALSE,wt_transfected
WTB.Hyp.24,31.1024465560913,21.4346237182617,9.66782283782959,24,wt,wtb,-1.68610313960484,3.21786352358869,FALSE,wt_transfected
WTC.Hyp.24,31.8576927185059,20.6608104705811,11.1968822479248,24,wt,wtc,-0.157043729509626,1.11500001496568,TRUE,wt_non-transfected
WTD.Hyp.24,31.6777925491333,21.986026763916,9.69176578521729,24,wt,wtd,-1.66216019221715,3.16490060561608,FALSE,wt_transfected
WTE.Hyp.24,29.86559009552,19.7532215118408,10.1123685836792,24,wt,wte,-1.24155739375523,2.36453647005261,TRUE,wt_non-transfected
WTF.Hyp.24,29.453839302063,19.2722015380859,10.1816377639771,24,wt,wtf,-1.17228821345738,2.25368864119842,TRUE,wt_non-transfected
HET10.Hyp.24,28.9796743392944,19.1493034362793,9.83037090301514,24,het,het10,-0.967042922973633,1.95482969192853,FALSE,het_transfected
HET14.Hyp.24,29.6595106124878,19.2468786239624,10.4126319885254,24,het,het14,-0.384781837463379,1.30566233153781,FALSE,het_transfected
HET18.Hyp.24,29.4907760620117,18.7615633010864,10.7292127609253,24,het,het18,-0.0682010650634766,1.04840857960898,FALSE,het_transfected
HOM25.Hyp.24,29.5827989578247,18.8355503082275,10.7472486495972,24,hom,hom25,-0.0432100296020508,1.0304039503784,FALSE,hom_transfected
