condition,ct,ct_housekeeping,diff,exposure,genotype,cell_label,ddct,logfc,nontransfected,group
WTA.Hyp.0,21.9575204849243,17.932089805603,4.02543067932129,0,wt,wta,0,1,FALSE,wt_transfected
WTB.Hyp.0,22.2696914672852,18.3037633895874,3.96592807769775,0,wt,wtb,0,1,FALSE,wt_transfected
WTC.Hyp.0,21.8627500534058,17.4857444763184,4.3770055770874,0,wt,wtc,0,1,TRUE,wt_non-transfected
WTD.Hyp.0,22.5862321853638,18.1736927032471,4.4125394821167,0,wt,wtd,0,1,FALSE,wt_transfected
WTE.Hyp.0,21.9950437545776,17.4888868331909,4.50615692138672,0,wt,wte,0,1,TRUE,wt_non-transfected
WTF.Hyp.0,22.2880764007568,17.675763130188,4.61231327056885,0,wt,wtf,0,1,TRUE,wt_non-transfected
HET10.Hyp.0,22.3515625,18.3332891464233,4.01827335357666,0,het,het10,0,1,FALSE,het_transfected
HET14.Hyp.0,22.3367080688477,18.0586214065552,4.27808666229248,0,het,het14,0,1,FALSE,het_transfected
HET18.Hyp.0,22.7113180160522,18.2920484542847,4.41926956176758,0,het,het18,0,1,FALSE,het_transfected
HOM25.Hyp.0,22.663911819458,18.1046009063721,4.55931091308594,0,hom,hom25,0,1,FALSE,hom_transfected
WTB.Hyp.12,21.9642610549927,19.2440338134766,2.72022724151611,12,wt,wtb,-0.854426724570138,1.80804016184092,FALSE,wt_transfected
WTD.Hyp.12,21.7188940048218,18.9332885742188,2.78560543060303,12,wt,wtd,-0.789048535483224,1.72793450539858,FALSE,wt_transfected
WTF.Hyp.12,21.6097002029419,18.7028217315674,2.90687847137451,12,wt,wtf,-0.66777549471174,1.58862156728115,TRUE,wt_non-transfected
WTNT.Hyp.12,21.9003219604492,16.364857673645,5.5354642868042,12,wt,wtnt,1.96081032071795,0.256884131635247,TRUE,wt_non-transfected
WTA.Hyp.12,22.17103099823,17.5278987884521,4.64313220977783,12,wt,wta,1.06847824369158,0.476821685894278,FALSE,wt_transfected
WTC.Hyp.12,22.1056976318359,17.7080316543579,4.39766597747803,12,wt,wtc,0.823012011391776,0.565260577374001,TRUE,wt_non-transfected
HET10.Hyp.12,20.773699760437,17.4930486679077,3.2806510925293,12,het,het10,-2.23069890340169,4.69361303387087,FALSE,het_transfected
HET14.Hyp.12,22.0835342407227,18.3074903488159,3.77604389190674,12,het,het14,-1.73530610402425,3.32950130131646,FALSE,het_transfected
HET18.Hyp.12,20.8865776062012,17.3049907684326,3.58158683776855,12,het,het18,-1.92976315816243,3.80992647948279,FALSE,het_transfected
HOM25.Hyp.12,21.3312549591064,17.7487840652466,3.58247089385986,12,hom,hom25,-3.81067371368408,14.0322428264811,FALSE,hom_transfected
WTA.Hyp.24,21.9209480285645,19.3405780792236,2.58036994934082,24,wt,wta,-1.45307350158691,2.73790711192778,FALSE,wt_transfected
WTB.Hyp.24,22.7867250442505,20.4489059448242,2.33781909942627,24,wt,wtb,-1.69562435150146,3.239170370513,FALSE,wt_transfected
WTC.Hyp.24,21.877534866333,19.5599794387817,2.31755542755127,24,wt,wtc,-1.71588802337646,3.28498782457543,TRUE,wt_non-transfected
WTD.Hyp.24,22.7696924209595,20.5152864456177,2.2544059753418,24,wt,wtd,-1.77903747558594,3.43197126977459,FALSE,wt_transfected
WTE.Hyp.24,22.3030233383179,20.0820369720459,2.22098636627197,24,wt,wte,-1.81245708465576,3.51239983706446,TRUE,wt_non-transfected
WTF.Hyp.24,22.0567760467529,19.7295513153076,2.32722473144531,24,wt,wtf,-1.70621871948242,3.26304462906315,TRUE,wt_non-transfected
HET10.Hyp.24,21.6569795608521,19.3964433670044,2.26053619384766,24,het,het10,-1.56153345108032,2.95167412376581,FALSE,het_transfected
HET14.Hyp.24,21.6773195266724,19.3596811294556,2.3176383972168,24,het,het14,-1.50443124771118,2.8371280136349,FALSE,het_transfected
HET18.Hyp.24,21.9167518615723,19.0361175537109,2.88063430786133,24,het,het18,-0.94143533706665,1.92043793190917,FALSE,het_transfected
HOM25.Hyp.24,22.3518524169922,19.5152912139893,2.83656120300293,24,hom,hom25,-1.4459342956543,2.72439199006512,FALSE,hom_transfected
