condition,ct,ct_housekeeping,diff,exposure,genotype,cell_label,ddct,logfc,nontransfected,group
WTA.Hyp.0,28.4903373718262,19.8261947631836,8.66414260864258,0,wt,wta,0,1,FALSE,wt_transfected
WTB.Hyp.0,27.2419729232788,19.9272470474243,7.31472587585449,0,wt,wtb,0,1,FALSE,wt_transfected
WTC.Hyp.0,27.6330127716064,19.1938486099243,8.43916416168213,0,wt,wtc,0,1,TRUE,wt_non-transfected
WTD.Hyp.0,27.1617383956909,19.9918098449707,7.16992855072021,0,wt,wtd,0,1,FALSE,wt_transfected
WTE.Hyp.0,27.0955200195312,19.325779914856,7.76974010467529,0,wt,wte,0,1,TRUE,wt_non-transfected
WTF.Hyp.0,27.4347019195557,19.5126695632935,7.92203235626221,0,wt,wtf,0,1,TRUE,wt_non-transfected
HET10.Hyp.0,27.2548971176147,20.2410097122192,7.01388740539551,0,het,het10,0,1,FALSE,het_transfected
HET14.Hyp.0,28.489951133728,20.390100479126,8.09985065460205,0,het,het14,0,1,FALSE,het_transfected
HET18.Hyp.0,28.6952104568481,20.170337677002,8.52487277984619,0,het,het18,0,1,FALSE,het_transfected
HOM25.Hyp.0,27.9914455413818,20.1282873153687,7.86315822601318,0,hom,hom25,0,1,FALSE,hom_transfected
WTB.Hyp.12,25.0311126708984,19.9105367660522,5.12057590484619,12,wt,wtb,-3.00260938916888,8.01448261930472,FALSE,wt_transfected
WTD.Hyp.12,25.0306911468506,19.7725849151611,5.25810623168945,12,wt,wtd,-2.86507906232561,7.28575793064919,FALSE,wt_transfected
WTF.Hyp.12,25.2205648422241,19.3402671813965,5.88029766082764,12,wt,wtf,-2.24288763318743,4.73343540080343,TRUE,wt_non-transfected
WTNT.Hyp.12,24.1724395751953,17.868766784668,6.30367279052734,12,wt,wtnt,-1.81951250348772,3.5296191012199,TRUE,wt_non-transfected
WTA.Hyp.12,25.5131340026855,19.0367126464844,6.47642135620117,12,wt,wta,-1.6467639378139,3.13130478073494,FALSE,wt_transfected
WTC.Hyp.12,25.7500801086426,19.2759761810303,6.4741039276123,12,wt,wtc,-1.64908136640276,3.13633869734452,TRUE,wt_non-transfected
HET10.Hyp.12,25.0499410629272,20.0402822494507,5.00965881347656,12,het,het10,-3.25631014506022,9.55535945042963,FALSE,het_transfected
HET14.Hyp.12,27.3614463806152,21.174614906311,6.1868314743042,12,het,het14,-2.07913748423258,4.22554516318784,FALSE,het_transfected
HET18.Hyp.12,25.8341960906982,19.6562528610229,6.17794322967529,12,het,het18,-2.08802572886149,4.25165852035912,FALSE,het_transfected
HOM25.Hyp.12,25.417685508728,20.0503845214844,5.36730098724365,12,hom,hom25,-2.93068599700928,7.62472865730824,FALSE,hom_transfected
WTA.Hyp.24,26.7668476104736,20.5988025665283,6.16804504394531,24,wt,wta,-1.87112590244838,3.6581795894779,FALSE,wt_transfected
WTB.Hyp.24,26.29372215271,21.6597242355347,4.63399791717529,24,wt,wtb,-3.4051730292184,10.5939817931584,FALSE,wt_transfected
WTC.Hyp.24,27.086745262146,20.56041431427,6.52633094787598,24,wt,wtc,-1.51283999851772,2.85371250410879,TRUE,wt_non-transfected
WTD.Hyp.24,26.4645671844482,21.8297214508057,4.63484573364258,24,wt,wtd,-3.40432521275112,10.5877579458689,FALSE,wt_transfected
WTE.Hyp.24,26.5264806747437,21.5519456863403,4.97453498840332,24,wt,wte,-3.06463595799037,8.3665680765729,TRUE,wt_non-transfected
WTF.Hyp.24,26.7495899200439,21.1869163513184,5.56267356872559,24,wt,wtf,-2.47649737766811,5.56544627673047,TRUE,wt_non-transfected
HET10.Hyp.24,25.9563808441162,20.9805784225464,4.97580242156982,24,het,het10,-3.15001535415649,8.87665024747939,FALSE,het_transfected
HET14.Hyp.24,27.237060546875,20.9616327285767,6.27542781829834,24,het,het14,-1.85038995742798,3.60597640654752,FALSE,het_transfected
HET18.Hyp.24,27.5222806930542,20.7786703109741,6.74361038208008,24,het,het18,-1.38220739364624,2.60666899172546,FALSE,het_transfected
HOM25.Hyp.24,26.7290945053101,20.9977121353149,5.73138236999512,24,hom,hom25,-2.12216854095459,4.35347832636819,FALSE,hom_transfected
