condition,ct,ct_housekeeping,diff,exposure,genotype,cell_label,ddct,logfc,nontransfected,group
WTA.Hyp.0,28.879186630249,19.8261947631836,9.05299186706543,0,wt,wta,0,1,FALSE,wt_transfected
WTB.Hyp.0,28.945276260376,19.9272470474243,9.01802921295166,0,wt,wtb,0,1,FALSE,wt_transfected
WTC.Hyp.0,28.6657476425171,19.1938486099243,9.47189903259277,0,wt,wtc,0,1,TRUE,wt_non-transfected
WTD.Hyp.0,29.5725736618042,19.9918098449707,9.5807638168335,0,wt,wtd,0,1,FALSE,wt_transfected
WTE.Hyp.0,28.8598890304565,19.325779914856,9.53410911560059,0,wt,wte,0,1,TRUE,wt_non-transfected
WTF.Hyp.0,29.166558265686,19.5126695632935,9.65388870239258,0,wt,wtf,0,1,TRUE,wt_non-transfected
HET10.Hyp.0,28.9064855575562,20.2410097122192,8.66547584533691,0,het,het10,0,1,FALSE,het_transfected
HET14.Hyp.0,29.2164039611816,20.390100479126,8.82630348205566,0,het,het14,0,1,FALSE,het_transfected
HET18.Hyp.0,28.8859968185425,20.170337677002,8.71565914154053,0,het,het18,0,1,FALSE,het_transfected
HOM25.Hyp.0,28.78293800354,20.1282873153687,8.65465068817139,0,hom,hom25,0,1,FALSE,hom_transfected
WTB.Hyp.12,27.9445142745972,19.9105367660522,8.03397750854492,12,wt,wtb,-1.37231138774327,2.58885001967828,FALSE,wt_transfected
WTD.Hyp.12,27.9348239898682,19.7725849151611,8.16223907470703,12,wt,wtd,-1.24404982158116,2.36862501965353,FALSE,wt_transfected
WTF.Hyp.12,27.9408569335938,19.3402671813965,8.60058975219727,12,wt,wtf,-0.805699144090925,1.74799268091705,TRUE,wt_non-transfected
WTNT.Hyp.12,25.0070629119873,16.4024868011475,8.60457611083984,12,wt,wtnt,-0.801712785448347,1.74316941095059,TRUE,wt_non-transfected
WTA.Hyp.12,25.431206703186,17.0367870330811,8.39441967010498,12,wt,wta,-1.01186922618321,2.01652211284444,FALSE,wt_transfected
WTC.Hyp.12,25.1457386016846,16.8691034317017,8.27663516998291,12,wt,wtc,-1.12965372630528,2.18806216379618,TRUE,wt_non-transfected
HET10.Hyp.12,25.3064985275269,17.0231857299805,8.28331279754639,12,het,het10,-1.1558723449707,2.22819013435568,FALSE,het_transfected
HET14.Hyp.12,25.7761335372925,17.7134618759155,8.06267166137695,12,het,het14,-1.37651348114014,2.59640147547707,FALSE,het_transfected
HET18.Hyp.12,25.1760578155518,16.6847648620605,8.49129295349121,12,het,het18,-0.947892189025879,1.92905220788488,FALSE,het_transfected
HOM25.Hyp.12,24.4357624053955,17.0388498306274,7.39691257476807,12,hom,hom25,-1.67439270019531,3.19184965939246,FALSE,hom_transfected
WTA.Hyp.24,27.5194473266602,20.5988025665283,6.92064476013184,24,wt,wta,-2.32275336129325,5.00286097361716,FALSE,wt_transfected
WTB.Hyp.24,27.5369663238525,21.6597242355347,5.87724208831787,24,wt,wtb,-3.36615603310721,10.3113121922889,FALSE,wt_transfected
WTC.Hyp.24,28.7342672348022,20.56041431427,8.17385292053223,24,wt,wtc,-1.06954520089286,2.09877164047118,TRUE,wt_non-transfected
WTD.Hyp.24,27.9802780151367,21.8297214508057,6.15055656433105,24,wt,wtd,-3.09284155709403,8.53174920221232,FALSE,wt_transfected
WTE.Hyp.24,27.8665246963501,21.5519456863403,6.31457901000977,24,wt,wte,-2.92881911141532,7.61486843754671,TRUE,wt_non-transfected
WTF.Hyp.24,28.0133476257324,21.1869163513184,6.82643127441406,24,wt,wtf,-2.41696684701102,5.34047048829129,TRUE,wt_non-transfected
HET10.Hyp.24,27.6862001419067,20.9805784225464,6.70562171936035,24,het,het10,-2.18825483322144,4.55753846739212,FALSE,het_transfected
HET14.Hyp.24,28.4250459671021,20.9616327285767,7.46341323852539,24,het,het14,-1.4304633140564,2.69533260689301,FALSE,het_transfected
HET18.Hyp.24,27.9927339553833,20.7786703109741,7.21406364440918,24,het,het18,-1.67981290817261,3.20386399937253,FALSE,het_transfected
HOM25.Hyp.24,27.68874168396,20.9977121353149,6.69102954864502,24,hom,hom25,-2.00047874450684,4.00132758188096,FALSE,hom_transfected
